susp/con ZIKV cases,,,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama
year,date,Epi Week,,,,,,,,
2016,3-Jan,1,0,0,1142,66,951,18,4,6
,10-Jan,2,3,0,1052,58,1799,18,8,16
,17-Jan,3,1,0,893,58,2225,16,8,26
,24-Jan,4,0,0,825,153,2366,17,42,44
,31-Jan,5,1,0,846,191,2158,38,61,43
,7-Feb,6,1,0,421,222,2553,34,59,38
,14-Feb,7,1,6,289,155,1508,23,40,44
,21-Feb,8,1,2,206,126,1035,18,34,44
,28-Feb,9,3,0,148,92,1081,28,30,77
,6-Mar,10,2,0,114,60,686,14,19,62
,13-Mar,11,0,0,76,63,546,6,25,56
,20-Mar,12,1,0,44,17,88,4,11,68
,27-Mar,13,0,0,55,42,322,17,23,70
,3-Apr,14,2,1,67,45,437,22,32,62
,10-Apr,15,6,2,45,44,473,15,17,64
,17-Apr,16,5,3,71,62,359,23,30,53
,24-Apr,17,0,12,34,49,510,25,19,59
,1-May,18,5,12,58,36,525,25,36,73
,8-May,19,8,15,42,69,650,37,40,99
,15-May,20,12,17,54,76,718,49,36,93
,22-May,21,11,20,50,88,697,58,49,80
,29-May,22,11,21,49,91,769,87,59,118
,5-Jun,23,16,19,42,102,967,93,86,72
,12-Jun,24,10,21,58,87,988,132,97,52
,19-Jun,25,31,16,86,92,905,126,145,50
,26-Jun,26,16,39,68,53,707,192,247,36
,3-Jul,27,18,60,62,83,832,165,346,33
,10-Jul,28,27,85,45,61,931,224,481,34
,17-Jul,29,8,127,39,42,681,257,500,26
,24-Jul,30,27,110,26,47,593,216,748,27
,31-Jul,31,19,120,28,29,582,179,761,42
,7-Aug,32,42,123,52,81,400,214,734,47
,14-Aug,33,64,99,19,81,442,320,843,61
,21-Aug,34,72,507,26,86,312,381,721,70
,28-Aug,35,36,561,36,95,249,455,656,69
,4-Sep,36,35,576,36,77,196,456,516,81
,11-Sep,37,40,406,24,49,143,361,297,70
,18-Sep,38,49,323,21,79,114,493,287,94
,25-Sep,39,55,383,24,61,143,561,253,80
,2-Oct,40,26,346,16,68,42,362,245,99
,9-Oct,41,20,321,20,81,75,412,207,110
,16-Oct,42,38,238,12,37,59,359,198,99
,23-Oct,43,38,284,24,31,42,336,139,80
,30-Oct,44,9,261,12,25,33,249,116,73
,6-Nov,45,16,229,12,19,33,293,99,115
,13-Nov,46,10,189,12,25,50,193,80,119
,20-Nov,47,5,215,12,14,17,124,89,134
,27-Nov,48,6,203,16,12,17,96,51,138
,4-Dec,49,18,144,12,15,25,59,36,179
,11-Dec,50,30,135,12,23,7,41,19,180
,18-Dec,51,22,119,8,10,17,18,34,138
,25-Dec,52,21,110,8,8,17,12,11,156
2017,1-Jan,1,22,121,8,21,17,22,30,243
,8-Jan,2,26,119,16,18,8,19,32,128
,15-Jan,3,35,69,12,15,17,15,25,130
,22-Jan,4,27,55,24,23,17,12,21,135
,29-Jan,5,58,34,8,17,8,10,17,123
,5-Feb,6,45,46,12,19,8,15,17,101
,12-Feb,7,1,46,12,18,17,13,30,62
,19-Feb,8,73,41,12,17,17,4,19,50
,26-Feb,9,68,36,12,15,17,2,15,38
,5-Mar,10,43,39,16,12,8,5,15,28
,12-Mar,11,33,39,8,11,8,7,15,42
,19-Mar,12,31,25,4,6,0,10,21,40
,26-Mar,13,6,27,8,5,0,10,13,26
,2-Apr,14,15,29,8,5,0,7,17,39
,9-Apr,15,7,18,4,2,0,4,17,20
,16-Apr,16,5,25,16,12,0,10,21,18
,23-Apr,17,10,25,8,4,0,0,27,12
,30-Apr,18,1,34,4,6,0,0,13,0
,7-May,19,0,20,12,7,0,0,17,0
,14-May,20,0,14,12,0,0,0,13,0
,21-May,21,0,0,16,0,0,0,0,0
